,ID,Medal
618,503,Na
619,504,Na
620,505,Na
621,507,Bronze
622,507,Gold
623,507,Silver
624,509,Na
625,509,Na
626,509,Na
627,509,Na
628,509,Bronze
629,510,Na
630,511,Na
631,512,Na
632,512,Na
633,512,Na
634,512,Na
635,512,Na
636,512,Na
637,513,Na
638,514,Na
639,514,Silver
640,514,Na
641,516,Na
642,517,Na
643,517,Na
644,518,Na
645,518,Na
646,519,Na
647,519,Na
648,519,Na
649,519,Na
650,519,Gold
651,519,Na
652,519,Silver
653,523,Na
654,523,Na
655,524,Na
656,525,Na
657,525,Na
658,526,Na
659,527,Bronze
660,528,Na
661,528,Na
662,528,Na
663,528,Na
664,528,Na
665,530,Na
666,531,Na
667,532,Na
668,532,Na
669,532,Na
670,532,Na
671,532,Na
672,532,Na
673,533,Na
674,534,Na
675,534,Na
676,534,Na
677,535,Na
678,535,Na
679,535,Na
680,535,Na
681,535,Na
682,535,Na
683,535,Na
684,535,Na
685,535,Na
686,537,Na
687,538,Na
688,539,Na
689,539,Na
690,540,Na
691,541,Na
692,541,Na
693,542,Na
694,543,Bronze
695,544,Na
696,545,Na
697,546,Na
698,546,Na
699,547,Silver
700,548,Na
701,548,Na
702,548,Bronze
703,548,Na
704,549,Na
705,549,Na
706,550,Na
707,550,Na
708,551,Na
709,552,Na
710,554,Na
711,555,Na
712,555,Na
713,555,Na
714,555,Na
715,556,Na
716,556,Na
717,557,Na
718,558,Na
719,560,Na
720,561,Na
721,561,Na
722,562,Na
723,562,Na
724,562,Na
725,562,Na
726,562,Na
727,562,Na
728,563,Na
729,564,Na
730,565,Na
731,566,Na
732,566,Na
733,566,Na
734,566,Na
735,566,Na
736,566,Na
737,566,Na
738,568,Na
739,569,Na
740,570,Na
741,571,Na
742,572,Na
743,572,Na
744,572,Na
745,572,Na
746,572,Na
747,573,Na
748,574,Na
749,574,Na
750,575,Na
751,576,Bronze
752,578,Na
753,579,Na
754,580,Na
755,580,Bronze
756,582,Gold
757,583,Gold
758,583,Gold
759,583,Na
760,583,Na
761,584,Na
762,585,Na
763,586,Na
764,587,Na
765,587,Na
766,588,Na
767,589,Na
768,590,Na
769,591,Na
770,593,Na
771,593,Na
772,595,Na
773,596,Na
774,598,Na
775,598,Na
776,599,Na
777,600,Na
778,600,Na
779,601,Na
780,602,Na
781,603,Na
782,604,Na
783,604,Na
784,605,Na
785,606,Na
786,606,Na
787,608,Gold
788,609,Na
789,610,Na
790,610,Na
791,610,Na
792,610,Na
793,610,Na
794,610,Na
795,610,Na
796,610,Bronze
797,610,Na
798,610,Na
799,610,Na
800,610,Na
801,611,Na
802,612,Na
803,613,Na
804,614,Na
805,615,Na
806,615,Na
807,616,Na
808,617,Na
809,618,Na
810,618,Na
811,618,Na
812,618,Bronze
813,619,Gold
814,620,Na
815,620,Na
816,621,Na
817,622,Na
818,623,Na
819,623,Na
820,626,Na
821,626,Na
822,627,Na
823,627,Bronze
824,627,Na
825,627,Na
826,628,Na
827,628,Na
828,629,Gold
829,633,Na
830,633,Na
831,634,Na
832,634,Bronze
833,634,Na
834,634,Na
835,634,Na
836,634,Na
837,634,Na
838,634,Na
839,634,Na
840,634,Na
841,634,Na
842,634,Na
843,634,Na
844,634,Na
845,634,Na
846,634,Na
847,634,Na
848,637,Na
849,641,Na
850,643,Na
851,644,Na
852,644,Na
853,646,Bronze
854,648,Na
855,648,Na
856,649,Na
857,649,Na
858,650,Na
859,650,Na
860,651,Na
861,652,Na
862,653,Na
863,654,Silver
864,655,Na
865,656,Na
866,656,Na
867,657,Na
868,658,Na
869,660,Na
870,661,Na
871,662,Na
872,663,Na
873,663,Na
874,663,Na
875,664,Na
876,666,Na
877,667,Na
878,668,Na
879,669,Bronze
880,670,Silver
881,671,Na
882,671,Na
883,672,Na
884,673,Bronze
885,674,Na
886,674,Bronze
887,674,Na
888,675,Na
889,675,Na
890,678,Na
891,678,Na
892,679,Na
893,679,Na
894,680,Na
895,680,Na
896,680,Bronze
897,681,Na
898,682,Na
899,682,Na
900,683,Na
901,683,Na
902,684,Na
903,684,Na
904,685,Na
905,686,Na
906,687,Na
907,687,Na
908,689,Na
909,689,Na
910,689,Na
911,689,Na
912,690,Bronze
913,690,Silver
914,691,Na
915,691,Na
916,693,Na
917,694,Na
918,694,Na
919,695,Na
920,698,Gold
921,700,Na
922,701,Na
923,702,Na
924,702,Na
925,702,Silver
926,702,Na
927,702,Silver
928,702,Silver
929,702,Na
930,702,Na
931,703,Na
932,705,Na
933,705,Gold
934,705,Bronze
935,705,Gold
936,705,Silver
937,706,Silver
938,706,Na
939,706,Na
940,707,Na
941,709,Na
942,709,Na
943,710,Na
944,712,Na
945,712,Na
946,713,Na
947,713,Na
948,713,Na
949,713,Na
950,715,Na
951,716,Gold
952,717,Na
953,718,Na
954,718,Na
955,719,Na
956,719,Na
957,721,Na
958,723,Bronze
959,724,Na
960,725,Na
961,726,Na
962,729,Na
963,730,Na
964,731,Na
965,731,Na
966,732,Na
967,736,Na
968,736,Na
969,736,Na
970,736,Na
971,737,Na
972,737,Na
973,737,Na
974,737,Na
975,737,Na
976,738,Na
977,738,Na
978,739,Na
979,742,Na
980,743,Na
981,745,Bronze
982,746,Na
983,746,Na
984,747,Na
985,748,Na
986,749,Na
987,750,Na
988,751,Na
989,753,Na
990,754,Na
991,754,Na
992,755,Na
993,755,Na
994,756,Na
995,759,Na
996,760,Na
997,761,Na
998,763,Na
999,764,Na
1000,766,Na
1001,766,Silver
1002,766,Na
1003,768,Na
1004,769,Na
1005,770,Na
1006,770,Na
1007,770,Na
1008,770,Na
1009,771,Na
1010,771,Na
1011,772,Gold
1012,773,Na
1013,773,Na
1014,773,Na
1015,773,Na
1016,779,Na
1017,779,Na
1018,779,Na
1019,779,Na
1020,779,Na
